MOVE,6.4477777778,0,,
DRAW,6.3761111111,3.9166666667,,
DRAW,6.3322222222,3.95,,
DRAW,6.0605555556,8.0666666667,,
DRAW,5.9494444444,9.65,,
DRAW,5.8572222222,9.9666666667,,
DRAW,5.8183333333,10.2833333333,,
DRAW,5.6158333333,12.85,,
DRAW,5.6025,13.3333333333,,
DRAW,5.6113888889,13.9333333333,,
DRAW,5.5944444444,14.1666666667,,
DRAW,5.5702777778,13.9666666667,,
DRAW,5.545,14.25,,
DRAW,5.5075,15.2166666667,,
DRAW,5.4538888889,15.8666666667,,
DRAW,5.3961111111,15.9166666667,,
DRAW,5.3783333333,16.3166666667,,
DRAW,5.3808333333,17.3666666667,,
DRAW,5.4036111111,17.9666666667,,
DRAW,5.5069444444,18.8,,
DRAW,5.6233333333,20.5166666667,,
DRAW,5.6127777778,21.0833333333,,
DRAW,5.6727777778,21.6833333333,,
DRAW,5.7661111111,23.6333333333,,
DRAW,5.7508333333,24.3166666667,,
DRAW,5.7383333333,24.8333333333,,
DRAW,5.6172222222,25.0166666667,,
DRAW,5.4747222222,25.7833333333,,
DRAW,5.4222222222,26.8,,
DRAW,5.4375,27.9166666667,,
DRAW,5.405,28.5833333333,,
DRAW,5.3291666667,29.4,,
DRAW,5.2319444444,31.15,,
DRAW,5.2219444444,34.6833333333,,
DRAW,5.1933333333,35.3666666667,,
DRAW,5.0713888889,35.55,,
DRAW,5.0402777778,35.9833333333,,
DRAW,5.0847222222,38.1333333333,,
DRAW,5.0566666667,38.7666666667,,
DRAW,4.8508333333,39.0666666667,,
DRAW,4.5916666667,40.9333333333,,
DRAW,4.4805555556,40.9833333333,,
DRAW,4.2597222222,40.3333333333,,
DRAW,4.1588888889,39.8666666667,,
DRAW,4.0641666667,40.45,,
DRAW,4.0044444444,42.2666666667,,
DRAW,3.9575,42.6833333333,,
DRAW,3.7044444444,44.1833333333,,
DRAW,3.6680555556,44.1333333333,,
DRAW,3.5891666667,43.9666666667,,
DRAW,3.4613888889,45.45,,
DRAW,3.3766666667,45.8333333333,,
DRAW,3.0888888889,46.7166666667,,
DRAW,2.9711111111,46.9166666667,,
DRAW,2.8602777778,46.7833333333,,
DRAW,2.7863888889,47.0333333333,,
DRAW,2.7488888889,47.7,,
DRAW,2.7141666667,49.5166666667,,
DRAW,2.6116666667,50.2166666667,,
DRAW,2.4983333333,50.2,,
DRAW,2.4097222222,49.85,,
DRAW,2.3372222222,50.0833333333,,
DRAW,2.2441666667,51.25,,
DRAW,2.0075,52.2833333333,,
DRAW,1.9508333333,52.25,,
DRAW,1.9280555556,51.9833333333,,
DRAW,1.9438888889,51.55,,
